dokument_kod	dokument_plik	dokument_tytul	url_stabilny	poziom	glebokosc	kolejnosc	sekcja_tytul	anchor	anchor_status	deep_link	opis
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H1	1	1	maj 2026. gradually stalo sie suddenly	gradually-stalo-sie-suddenly	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#gradually-stalo-sie-suddenly	Aktualizowana analiza przejścia rosyjskiego systemu od narastającej degradacji do zmian jakościowych. Łączy uderzenia, logistykę, energię, politykę i kalibrację prognoz.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	2	I. Wstęp — co się zmieniło od daty Kolumbryny	wstep-jakosciowa-zmiana	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#wstep-jakosciowa-zmiana	Od monografii rafinerii do sekwencyjnej analizy systemowego rozkładu Rosji.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	3	Zmiana ilościowa — więcej tego samego, ale wykładniczo	zmiana-ilosciowa	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#zmiana-ilosciowa	Wykładniczy wzrost liczby, częstotliwości i zasięgu ukraińskich uderzeń.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	4	Zmiana jakościowa — każdy aspekt wymagał osobnego rozdziału	zmiana-jakosciowa	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#zmiana-jakosciowa	Rozszerzenie kampanii z rafinerii na logistykę, Krym, sygnalizację i rynek paliw.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	5	Dokument o tym, jak dokument przestał być tym, czym miał być	dokument-o-dokumencie	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#dokument-o-dokumencie	Zmiana z kroniki uderzeń w analizę systemowego rozkładu.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	6	II. Lista uderzeń — okresy dwutygodniowe, od maja tygodniowe	lista-uderzen	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#lista-uderzen	Kotwica po wydzieleniu pełnej kroniki uderzeń do osobnego pliku.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	7	III. Nota metodologiczna — wnioskowanie przy braku danych	nota-metodologiczna	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#nota-metodologiczna	Wariantowe wnioskowanie przy nieznanych danych, bez zgadywania brakujących zmiennych.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	8	IV. Galeria celów — analiza najciekawszych uderzeń	galeria-celow	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#galeria-celow	Wybrane uderzenia jako przykłady mechanizmów i logiki całej kampanii.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	9	Cele niekinetyczne — sygnał, doktryna, dekapitacja	cele-niekinetyczne	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#cele-niekinetyczne	Presja na percepcję, dowodzenie i morale zamiast wyłącznie celów fizycznych.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	10	V. Krym jako efekt uboczny — geometria likwidacji	krym-efekt-uboczny	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-efekt-uboczny	Izolacja Krymu jako produkt uboczny kampanii przeciw logistyce i energii.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	11	Trzy wektory zaopatrzenia	trzy-wektory	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#trzy-wektory	Lądowy, morski i mostowy kanał zaopatrzenia Krymu oraz ich degradacja.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	12	Usunięcie cywilów z R-280 — koncesja, nie zarządzanie	r280-tarcza	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#r280-tarcza	Usunięcie cywilów z R-280 jako wymuszony kompromis logistyczny Rosji.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	13	Dekret jest mimowolnym przyznaniem, że dron pokonał tarczę	dekret-dron-tarcza	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#dekret-dron-tarcza	Usunięcie cywilów z R-280 jako wymuszona rezygnacja z tarczy.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	14	Most jako przynęta — dlaczego kolejność jest wymuszona	most-przyneta	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#most-przyneta	Nietknięty Most Kerczeński wiąże rosyjską OPL i odsłania inne cele.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	15	Most kerczeński na poziomie meta — wcześniej, na deser, czy ciągłe ciśnienie (i dlaczego to już poker, nie szachy)	most-poker-meta	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#most-poker-meta	Trzy strategie wobec mostu: wcześniej, na finał albo permanentne ciśnienie.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	16	Dlaczego port krymski nie wymaga ani jednego drona	krym-darmowy	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-darmowy	Odcięcie portów Krymu przez uderzanie w rosyjski koniec szlaku morskiego.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	17	Drugi koniec łańcucha na obu morzach — rejestr portów rosyjskich i okupowanych (bez Krymu)	morza-drugi-koniec	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#morza-drugi-koniec	Porty rosyjskie i okupowane jako węzły morskiego łańcucha zaopatrzenia.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H4	4	18	Morze Czarne — rosyjskie wybrzeże Krasnodarskiego	morza-czarne	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#morza-czarne	Czarnomorskie porty Krasnodaru obsługujące eksport i logistykę wojenną.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H4	4	19	Morze Azowskie — rosyjskie wybrzeże	morza-azowskie-ru	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#morza-azowskie-ru	Rosyjskie porty azowskie jako drugi koniec łańcucha logistycznego.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H4	4	20	Morze Azowskie — porty okupowane (Mariupol, Berdiańsk)	morza-azowskie-okup	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#morza-azowskie-okup	Mariupol i Berdiańsk jako okupowane węzły przeładunkowe na Morzu Azowskim.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	21	Krym przekształca się z półwyspu w wyspę	krym-wyspa	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-wyspa	Stopniowa utrata połączeń zamienia Krym w wyspę logistyczną.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	22	Powolne odcinanie Krymu od prądu — czwarty wektor, ukryty w gąszczu	krym-odcinanie-pradu	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-odcinanie-pradu	Energetyka jako czwarty, równoległy wektor izolowania Krymu.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	23	Materialny wynik — kupony na paliwo na Krymie	krym-kupony	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-kupony	Reglamentacja paliwa jako materialny objaw narastającej izolacji półwyspu.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	24	Krym nie jest osobnym teatrem — jest efektem zewnętrznym	krym-efekt-zewnetrzny	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-efekt-zewnetrzny	Izolacja Krymu jako skutek uboczny szerszej kampanii logistyczno-naftowej.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	25	Wątki kontynuowane w innych sekcjach	krym-watki-kontynuowane	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#krym-watki-kontynuowane	Odsyłacze do dalszych analiz Krymu: sygnalizacja, paliwa i energetyka.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	26	VI. Ewolucja typologii celów — co się dywersyfikuje	ewolucja-typologii	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#ewolucja-typologii	Jak kampania rozszerza się na nowe klasy celów i nowe teatry.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	27	Matryca 1: kategorie funkcjonalne celów	matryca-kategorie	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#matryca-kategorie	Zmiany aktywnych kategorii celów od stycznia do czerwca 2026.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	28	Matryca 2: wektory geograficzne	matryca-geograficzna	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#matryca-geograficzna	Przesuwanie kampanii między Bałtykiem, południem, centrum, Uralem i okupacją.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	29	Synteza ewolucyjna — co się zmieniło między okresami	synteza-ewolucyjna	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#synteza-ewolucyjna	Pięć jakościowych progów dojrzewania kampanii od stycznia do czerwca.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	30	Syntetyczne obserwacje (od 04.01.2026)	syntetyczne-obserwacje	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#syntetyczne-obserwacje	Najważniejsze wzorce: zasięg, dywersyfikacja, kompresja napraw i przeciążenie OPL.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	31	Front Olexandrivka — terytorium jako nowa kategoria celu	front-olexandrivka	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#front-olexandrivka	Odzyskiwane terytorium jako nowa kategoria skutku kampanii systemowej.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	32	Dlaczego front Olexandrivka wpisuje się w to opracowanie	front-olexandrivka-uzasadnienie	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#front-olexandrivka-uzasadnienie	Olexandrivka jako materialny skutek degradacji rosyjskiej logistyki i OPL.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H2	2	33	VII. Budanov — gramatyka rozkładu i przebudowy	budanov-gramatyka	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#budanov-gramatyka	Budanow jako rama do czytania rozkładu Rosji, informacji i ukraińskiej przebudowy.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H3	3	34	"Od „zwycięstwa"" do „jedności"" — czytanie przez przemilczenia"	budanov-negative-space	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#budanov-negative-space	Zmiana słownika Budanowa: mniej „zwycięstwa”, więcej jedności i ryzyk wewnętrznych.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	35	"Negative space jako metoda — i jako lustro do „czterech trybów"""	negative-space-metoda	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#negative-space-metoda	Czytanie nieobecności jako danych: brak słów, działań i dostaw.
A2	a2_ZAMROZONE-maj-2026-gradually-stalo-sie-suddenly-v25_00-2026-06-25.html	ZAMROZONE · maj 2026. gradually stalo sie suddenly · v25.00	https://maciektora-hue.github.io/rosja/gradually-suddenly/	H6	6	36	Punkt zwrotny nazwany cztery lata za wcześnie — kalibracja przez własny track record	punkt-zwrotny-za-wczesnie	OK	https://maciektora-hue.github.io/rosja/gradually-suddenly/#punkt-zwrotny-za-wczesnie	Prognoza z 2022 kierunkowo trafna, lecz przedwczesna o około cztery lata.
